CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,CASELLE TORINESE,10772,5243,8227,4124,65,80,26,26,1576,877,243,259,1479,24,18,295,17,72,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722,1780,33.086179652364166,21.63607633402212
PIEMONTE 1,CASTAGNETO PO,1389,708,1100,567,7,19,3,12,184,135,33,72,200,5,5,59,2,13,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,282,33.09090909090909,25.636363636363633
PIEMONTE 1,CASTIGLIONE TORINESE,5175,2557,4170,2103,30,39,24,26,838,556,151,227,863,13,17,151,6,42,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,1120,37.673860911270985,26.85851318944844
PIEMONTE 1,CAVAGNOLO,1838,894,1379,697,18,25,5,8,304,218,32,34,195,1,2,37,3,7,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,232,40.75416968817984,16.823785351704135
PIEMONTE 1,CHIERI,28077,13343,21638,10571,180,167,140,109,3775,2486,787,1021,4805,95,90,663,90,226,5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7157,6011,33.07606987706812,27.779831777428598
PIEMONTE 1,CHIVASSO,21084,10139,15737,7840,129,176,93,520,2830,1639,418,467,2808,43,126,523,55,145,4637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5407,3444,34.35851814195844,21.884730253542607
PIEMONTE 1,CINZANO,286,148,217,112,2,1,1,1,38,19,6,19,40,1,3,10,2,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,29.493087557603687,29.03225806451613
PIEMONTE 1,FOGLIZZO,1820,885,1377,690,14,21,13,5,321,151,51,31,191,3,3,40,2,8,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,228,38.344226579520694,16.55773420479303
PIEMONTE 1,GASSINO TORINESE,7515,3568,5897,2874,46,57,17,25,1122,705,196,248,1300,28,24,261,15,69,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,1600,34.72952348651857,27.13244022384263
PIEMONTE 1,LAURIANO,1212,592,912,462,14,8,5,5,161,105,31,33,151,2,8,29,4,20,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,194,33.114035087719294,21.271929824561404
