CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
LOMBARDIA 3,OSIO SOPRA,3931,1947,3187,1602,49,25,21,14,1104,341,94,67,545,6,7,57,0,28,672,17,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,625,48.72921242547851,19.610919359899594
LOMBARDIA 3,OSIO SOTTO,8977,4419,7003,3479,96,45,27,36,2119,886,211,122,1459,20,22,129,0,46,1419,27,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,1623,46.43724118235042,23.175781807796657
LOMBARDIA 3,POGNANO,1152,600,934,493,8,5,1,4,395,127,40,13,131,3,2,5,0,5,128,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,566,149,60.599571734475376,15.952890792291221
LOMBARDIA 3,PONTIROLO NUOVO,3667,1842,2922,1509,40,24,12,16,935,339,93,51,535,5,10,71,0,17,562,18,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,601,47.3305954825462,20.56810403832991
LOMBARDIA 3,SPIRANO,4090,2076,3408,1741,55,30,18,30,1483,474,111,41,460,3,5,49,0,15,472,19,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,509,61.56103286384976,14.935446009389672
LOMBARDIA 3,TELGATE,3120,1583,2463,1249,48,14,22,18,949,422,82,22,376,2,6,30,0,16,358,9,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,406,59.72391392610638,16.483962647178238
LOMBARDIA 3,TREVIGLIO,21936,10547,16977,8399,198,99,98,211,4570,2135,765,613,3680,75,66,525,0,154,2906,65,16,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,7681,4434,45.24356482299582,26.117688637568477
LOMBARDIA 3,URGNANO,7163,3626,5766,2968,84,91,49,45,2136,821,328,77,804,13,11,83,0,32,887,39,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3330,905,57.75234131113424,15.695456122095038
LOMBARDIA 3,VERDELLINO,4820,2425,3746,1929,58,30,24,22,1043,491,167,62,767,8,9,95,0,14,811,12,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,846,45.99572877736252,22.584089695675388
LOMBARDIA 3,VERDELLO,5763,2864,4494,2271,75,27,49,39,1456,530,147,109,800,11,15,93,0,44,861,30,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,935,48.33110814419226,20.80551846906987
LOMBARDIA 3,ZANICA,6441,3225,5172,2630,58,128,25,24,1773,607,229,109,875,17,13,118,0,50,925,15,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,1014,50.90873936581593,19.605568445475637
LOMBARDIA 3,ANTEGNATE,2087,1014,1675,829,29,24,5,11,759,245,67,11,241,2,8,16,0,8,179,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,262,64.59701492537313,15.641791044776118
LOMBARDIA 3,ARZAGO D'ADDA,2046,1031,1442,743,11,16,10,8,493,193,58,24,224,5,1,39,0,11,299,6,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,752,254,52.1497919556172,17.614424410540916
LOMBARDIA 3,BARBATA,525,266,443,229,9,7,1,2,189,45,13,3,58,0,1,10,0,3,74,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,249,62,56.20767494356659,13.99548532731377
LOMBARDIA 3,BARIANO,3232,1671,2560,1337,56,37,6,21,851,277,87,46,556,8,8,51,0,26,363,20,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,618,48.28125,24.140625
LOMBARDIA 3,CALCIO,3676,1835,2956,1510,46,30,23,52,1074,447,139,41,541,9,7,44,0,14,380,23,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,598,57.91610284167794,20.23004059539919
LOMBARDIA 3,CALVENZANO,3253,1609,2619,1329,43,16,12,11,881,400,108,40,402,14,5,45,0,13,481,19,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,461,53.45551737304315,17.602138220694922
LOMBARDIA 3,CARAVAGGIO,12049,5880,9568,4786,151,90,50,70,3247,1235,368,209,1860,31,42,201,0,79,1455,48,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,2142,51.42140468227425,22.387123745819398
LOMBARDIA 3,CASIRATE D'ADDA,2996,1490,2305,1172,27,15,4,13,706,261,94,50,424,8,5,68,0,19,494,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,487,46.59436008676789,21.127982646420822
LOMBARDIA 3,CIVIDATE AL PIANO,3786,1902,3078,1554,43,42,14,17,1151,510,97,39,405,5,5,69,0,15,521,20,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,454,57.667316439246264,14.7498375568551
LOMBARDIA 3,COLOGNO AL SERIO,8125,4061,6600,3335,86,89,51,47,2537,957,315,108,867,11,16,106,0,50,1038,47,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3856,1002,58.42424242424242,15.181818181818182
LOMBARDIA 3,CORTENUOVA,1405,712,1177,593,22,15,3,7,475,169,34,10,182,1,3,17,0,8,178,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,685,196,58.198810535259135,16.652506372132542
LOMBARDIA 3,COVO,2745,1375,2192,1136,39,46,9,21,866,320,96,36,315,4,3,27,0,17,302,13,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,358,59.443430656934304,16.33211678832117
LOMBARDIA 3,FARA OLIVANA CON SOLA,949,485,792,408,11,11,4,2,327,123,33,13,82,1,2,7,0,5,119,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,485,98,61.23737373737374,12.373737373737374
LOMBARDIA 3,FONTANELLA,3102,1537,2431,1228,36,36,9,29,1024,350,107,26,320,4,9,20,0,13,333,13,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,359,62.11435623200329,14.76758535582065
LOMBARDIA 3,FORNOVO SAN GIOVANNI,2520,1254,2037,1028,47,20,11,13,723,250,62,32,293,5,3,36,0,9,377,70,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,333,51.44820814923907,16.347569955817377
LOMBARDIA 3,GHISALBA,4285,2152,3536,1802,69,35,15,26,1365,621,122,39,441,2,9,43,0,23,562,23,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2134,491,60.35067873303167,13.885746606334843
LOMBARDIA 3,ISSO,500,258,414,218,3,4,2,7,176,44,21,1,37,0,1,14,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,39,59.90338164251207,9.420289855072465
LOMBARDIA 3,MARTINENGO,7304,3652,5881,2980,76,79,32,42,2081,1026,246,65,816,11,13,65,0,43,1033,34,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,905,57.72827750382588,15.388539364053733
LOMBARDIA 3,MISANO DI GERA D'ADDA,2229,1108,1787,902,24,10,6,8,693,300,55,24,227,4,5,23,0,10,313,16,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,260,59.09345271404589,14.549524342473418
LOMBARDIA 3,MORENGO,1948,952,1549,774,27,31,5,10,547,200,36,19,283,3,6,28,0,5,281,12,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,793,311,51.19431891542931,20.07746933505487
LOMBARDIA 3,MORNICO AL SERIO,2067,1036,1666,844,25,17,8,37,633,344,70,17,205,2,9,6,0,8,207,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1084,233,65.06602641056422,13.985594237695079
LOMBARDIA 3,MOZZANICA,3416,1734,2801,1434,46,26,9,25,1149,300,94,35,396,7,8,50,0,11,495,19,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,446,55.98000714030703,15.922884684041414
LOMBARDIA 3,PAGAZZANO,1576,830,1274,676,24,16,4,9,499,156,49,11,192,5,5,17,0,9,220,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,713,213,55.96546310832024,16.718995290423862
LOMBARDIA 3,PALOSCO,4210,2098,3409,1719,61,34,14,23,1420,475,124,47,453,10,7,80,0,14,531,10,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,517,59.900264007040185,15.165737753006747
LOMBARDIA 3,PUMENENGO,1230,594,1006,493,17,11,4,16,446,194,37,3,107,0,1,14,0,3,112,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,693,111,68.88667992047714,11.033797216699801
LOMBARDIA 3,ROMANO DI LOMBARDIA,13556,6749,10687,5417,161,115,48,133,3433,1453,400,242,1936,35,34,244,0,97,1736,49,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,5419,2247,50.706465799569564,21.025545054739403
LOMBARDIA 3,TORRE PALLAVICINA,812,398,643,332,13,14,2,7,283,134,24,1,58,2,1,1,0,1,65,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,448,62,69.67340590979782,9.642301710730948
LOMBARDIA 3,AZZANO MELLA,2300,1178,1927,979,24,22,7,6,633,259,88,21,299,3,7,49,0,11,393,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,986,330,51.16761805915932,17.125064867669952
LOMBARDIA 3,BAGNOLO MELLA,9296,4522,7343,3637,103,74,64,73,2541,772,377,102,1486,19,22,126,0,106,1212,24,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,3763,1629,51.24608470652322,22.184393299741252
LOMBARDIA 3,BARBARIGA,1755,888,1465,750,22,27,23,46,590,154,30,12,218,2,2,25,0,6,254,10,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,820,234,55.972696245733786,15.97269624573379
LOMBARDIA 3,BASSANO BRESCIANO,1638,813,1399,710,34,19,16,13,518,165,76,17,263,1,6,13,0,8,204,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,772,287,55.18227305218013,20.51465332380272
LOMBARDIA 3,BORGO SAN GIACOMO,3862,1946,3067,1578,58,37,22,10,1184,441,155,43,491,15,20,71,0,7,387,10,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,569,58.36322138897946,18.552331268340396
LOMBARDIA 3,BRANDICO,1217,623,963,507,17,10,3,6,329,115,52,16,160,5,2,20,0,11,189,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,502,183,52.12876427829699,19.003115264797508
LOMBARDIA 3,CAPRIANO DEL COLLE,3423,1733,2814,1452,40,24,11,13,931,324,162,43,510,9,3,62,0,36,514,13,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,565,50.817341862117985,20.07818052594172
LOMBARDIA 3,CIGOLE,1186,597,963,493,17,13,6,13,272,128,34,33,177,3,1,19,0,6,205,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,447,214,46.41744548286604,22.22222222222222
LOMBARDIA 3,CORZANO,1084,544,871,439,19,25,5,7,334,91,37,7,115,0,1,16,0,1,145,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,469,123,53.84615384615385,14.121699196326063
LOMBARDIA 3,DELLO,4067,2037,3276,1677,38,59,38,40,1225,382,122,51,506,4,11,54,0,24,604,28,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,572,53.998778998778995,17.46031746031746
LOMBARDIA 3,LENO,10290,5198,8207,4219,124,74,85,119,2813,1033,387,136,1318,34,52,145,0,25,1502,29,8,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,1540,53.02790300962593,18.764469355428293
LOMBARDIA 3,LONGHENA,490,260,413,225,6,6,4,6,133,42,9,4,114,0,0,11,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,118,46.00484261501211,28.57142857142857
LOMBARDIA 3,MAIRANO,2367,1201,1944,993,23,14,11,18,694,197,80,24,387,5,5,46,0,12,334,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,989,421,50.87448559670782,21.656378600823047
LOMBARDIA 3,MANERBIO,9586,4587,7562,3720,101,57,129,67,2385,869,323,169,1517,43,19,255,0,68,1236,48,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,1748,48.18830997090717,23.115577889447238
LOMBARDIA 3,MONTIRONE,3755,1898,3146,1601,55,55,38,23,1068,336,116,33,532,5,5,82,0,14,660,18,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,575,49.04640813731723,18.27717736808646
LOMBARDIA 3,OFFLAGA,2940,1497,2371,1222,47,25,16,16,805,280,87,26,495,3,4,33,0,11,396,14,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,528,50.10544074230282,22.269084774356813
LOMBARDIA 3,ORZINUOVI,9185,4540,7217,3660,129,114,32,42,2553,1112,414,123,1213,18,15,135,0,35,1009,39,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4121,1369,57.101288624082024,18.969100734377164
LOMBARDIA 3,ORZIVECCHI,1860,925,1512,778,21,17,6,3,587,206,64,17,303,2,3,33,0,6,180,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,860,325,56.87830687830689,21.494708994708994
LOMBARDIA 3,PAVONE DEL MELLA,2047,1041,1541,810,24,16,16,104,489,225,51,25,240,7,6,23,0,7,244,12,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,869,278,56.391953277092796,18.040233614536017
LOMBARDIA 3,POMPIANO,2815,1417,2345,1207,51,41,7,14,874,271,78,39,432,6,4,49,0,11,382,4,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,481,52.75053304904051,20.51172707889126
LOMBARDIA 3,PONCARALE,3980,1974,3373,1686,41,33,23,43,1076,344,107,71,674,7,18,63,0,14,736,13,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,770,46.54610139341832,22.828342721612806
LOMBARDIA 3,ROCCAFRANCA,3253,1616,2690,1342,43,34,7,8,1092,620,101,23,292,2,5,18,0,9,331,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1821,322,67.69516728624535,11.970260223048328
LOMBARDIA 3,RUDIANO,3950,2002,3282,1665,48,44,4,14,1326,644,114,38,347,4,11,26,0,6,464,15,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,400,63.92443631931749,12.187690432663011
LOMBARDIA 3,SAN GERVASIO BRESCIANO,1749,871,1375,699,28,27,11,18,497,167,76,0,183,7,8,20,0,7,274,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,758,198,55.127272727272725,14.399999999999999
LOMBARDIA 3,SAN PAOLO,3250,1643,2676,1380,38,60,13,8,1073,280,93,27,477,5,3,43,0,9,428,11,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,512,54.33482810164425,19.13303437967115
LOMBARDIA 3,URAGO D'OGLIO,2579,1288,2115,1069,42,30,6,10,810,372,78,30,320,4,3,22,0,7,282,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,357,60.047281323877066,16.879432624113473
LOMBARDIA 3,VEROLANUOVA,6244,3037,5126,2574,76,67,39,31,1979,670,196,90,814,11,14,83,0,29,795,24,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,929,56.10612563402263,18.12329301599688
LOMBARDIA 3,VILLACHIARA,1103,540,899,451,12,39,3,4,281,114,36,0,227,11,1,7,0,8,140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,239,48.38709677419355,26.585094549499445
LOMBARDIA 4,ALAGNA,671,340,491,262,8,7,2,1,177,96,17,9,52,2,0,10,0,3,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,63,59.26680244399185,12.830957230142568
LOMBARDIA 4,ALBONESE,469,225,310,161,6,5,0,2,98,68,21,7,28,1,0,5,0,3,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,36,60.967741935483865,11.612903225806452
LOMBARDIA 4,BASTIDA PANCARANA,761,373,590,295,10,4,2,3,147,107,25,8,122,0,2,4,0,1,116,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,132,47.79661016949153,22.372881355932204
LOMBARDIA 4,BATTUDA,515,275,387,206,6,6,1,0,98,46,11,7,47,0,1,8,0,7,126,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,55,40.05167958656331,14.21188630490956
LOMBARDIA 4,BEREGUARDO,2170,1091,1665,866,11,29,6,4,521,266,56,38,264,8,3,21,0,12,326,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,313,50.87087087087087,18.7987987987988
LOMBARDIA 4,BORGO SAN SIRO,786,395,590,318,11,9,5,3,171,113,22,2,91,0,3,15,0,3,104,11,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,96,52.3728813559322,16.271186440677965
LOMBARDIA 4,BREME,620,296,408,216,7,2,4,4,146,75,12,5,49,0,1,11,0,3,66,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,55,58.08823529411765,13.480392156862745
LOMBARDIA 4,CANDIA LOMELLINA,1214,573,896,435,17,8,3,7,272,129,28,13,142,2,2,19,0,3,196,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,159,48.660714285714285,17.745535714285715
LOMBARDIA 4,CARBONARA AL TICINO,1110,551,868,447,9,11,3,1,230,127,25,23,191,1,3,22,0,11,163,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,218,44.124423963133644,25.115207373271893
LOMBARDIA 4,CASEI GEROLA,2002,984,1499,776,31,19,2,12,404,261,52,19,268,7,6,29,0,6,303,8,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,300,48.6324216144096,20.0133422281521
LOMBARDIA 4,CASORATE PRIMO,6598,3277,5020,2567,47,62,26,25,1285,776,152,100,721,19,15,121,0,59,1339,42,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238,855,44.581673306772906,17.03187250996016
LOMBARDIA 4,CASSOLNOVO,5624,2742,4026,2025,63,51,12,44,1137,656,128,61,567,13,9,70,0,32,951,29,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,650,48.80774962742176,16.145057128663687
LOMBARDIA 4,CASTELLETTO DI BRANDUZZO,832,418,633,335,15,12,1,0,166,109,21,20,109,2,0,13,0,3,130,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,131,46.76145339652449,20.69510268562401
LOMBARDIA 4,CASTELLO D'AGOGNA,824,421,658,341,8,8,1,1,181,113,30,6,100,2,1,11,0,1,157,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,109,49.39209726443769,16.565349544072948
LOMBARDIA 4,CASTELNOVETTO,469,234,329,178,4,4,2,1,108,63,8,2,57,1,0,3,0,0,63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,60,54.7112462006079,18.237082066869302
LOMBARDIA 4,CERETTO LOMELLINA,164,83,126,66,5,0,0,0,43,23,3,2,12,0,0,1,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,14,54.761904761904766,11.11111111111111
LOMBARDIA 4,CERGNAGO,602,298,441,219,7,7,1,0,128,88,18,2,43,3,0,14,0,1,98,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,48,53.06122448979592,10.884353741496598
LOMBARDIA 4,CERVESINA,1006,473,710,348,11,10,1,6,221,136,8,8,86,0,3,11,0,4,158,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,97,52.25352112676056,13.661971830985916
LOMBARDIA 4,CILAVEGNA,4429,2149,3213,1607,44,23,10,16,862,499,112,50,612,8,2,63,0,19,692,55,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,672,46.342981637099285,20.915032679738562
LOMBARDIA 4,CONFIENZA,1343,655,993,502,18,7,1,2,347,175,46,16,125,2,3,10,0,4,174,5,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,146,57.40181268882175,14.70292044310171
LOMBARDIA 4,CORANA,667,324,497,261,7,11,0,11,180,87,19,4,44,2,2,6,0,3,90,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,52,59.758551307847085,10.46277665995976
LOMBARDIA 4,CORNALE E BASTIDA,698,335,525,265,10,4,2,4,142,73,19,3,81,3,2,18,0,7,128,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,89,45.33333333333333,16.952380952380953
LOMBARDIA 4,COZZO,309,169,210,115,3,2,2,0,46,52,8,2,37,0,0,2,0,4,43,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,39,50.476190476190474,18.571428571428573
LOMBARDIA 4,DORNO,3640,1802,2674,1357,56,27,3,32,851,477,78,61,371,14,6,37,0,18,494,23,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,452,53.777112939416604,16.903515332834704
LOMBARDIA 4,FERRERA ERBOGNONE,824,406,605,306,18,6,1,5,108,81,32,1,113,0,0,14,0,3,166,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,114,37.35537190082645,18.84297520661157
LOMBARDIA 4,FRASCAROLO,981,452,728,340,11,4,3,3,261,155,33,9,80,1,0,16,0,1,106,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,90,62.08791208791209,12.362637362637363
LOMBARDIA 4,GALLIAVOLA,151,78,114,62,4,2,0,0,34,28,4,4,15,0,1,2,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20,57.89473684210527,17.543859649122805
LOMBARDIA 4,GAMBARANA,180,88,113,54,5,4,0,0,30,33,2,1,0,19,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,20,57.52212389380531,17.699115044247787
LOMBARDIA 4,GAMBOLO',8282,4037,5796,2923,101,49,37,38,1701,1029,263,105,785,15,6,105,0,40,1207,41,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031,911,52.294685990338166,15.717736369910282
LOMBARDIA 4,GARLASCO,7775,3730,5573,2781,88,58,22,19,1662,1103,210,84,905,11,8,71,0,27,1053,45,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994,1008,53.723308810335546,18.08720617261798
LOMBARDIA 4,GRAVELLONA LOMELLINA,2160,1051,1568,793,28,18,13,12,481,259,48,33,241,2,4,21,0,8,301,11,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,280,51.02040816326531,17.857142857142858
LOMBARDIA 4,GROPELLO CAIROLI,3512,1695,2501,1247,40,35,9,12,682,425,108,42,423,7,3,67,0,9,517,9,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,475,49.06037584966014,18.992403038784484
LOMBARDIA 4,LANGOSCO,303,142,242,114,6,3,2,0,63,27,8,4,54,2,4,7,0,2,51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,64,40.49586776859504,26.446280991735538
LOMBARDIA 4,LOMELLO,1788,839,1309,640,32,20,3,5,386,218,41,20,206,5,1,19,0,3,240,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,232,49.65622612681436,17.723453017570666
LOMBARDIA 4,LUNGAVILLA,1953,944,1469,746,31,21,1,11,399,212,55,16,250,5,5,38,0,6,327,14,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,276,46.0857726344452,18.788291354663038
LOMBARDIA 4,MEDE,5070,2401,3377,1647,52,38,6,5,914,573,108,40,626,3,15,51,0,20,699,33,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,684,47.37933076695292,20.254663902872373
LOMBARDIA 4,MEZZANA BIGLI,893,459,636,351,10,13,3,1,149,102,14,2,128,1,1,9,0,4,162,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,132,41.82389937106918,20.754716981132077
LOMBARDIA 4,MEZZANA RABATTONE,403,195,321,161,7,9,0,1,113,56,8,6,48,1,2,12,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,57,55.45171339563863,17.75700934579439
LOMBARDIA 4,MONTEBELLO DELLA BATTAGLIA,1292,646,963,496,18,19,1,5,272,137,43,20,169,6,2,34,0,10,167,10,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,197,47.45586708203531,20.456905503634477
LOMBARDIA 4,MORTARA,11398,5315,8063,3947,96,98,30,43,2304,1280,381,174,1262,21,25,107,0,168,1616,64,6,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4008,1482,49.70854520649882,18.38025548803175
LOMBARDIA 4,NICORVO,250,125,180,87,3,2,1,1,45,36,5,4,19,0,1,5,0,2,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,24,48.333333333333336,13.333333333333334
LOMBARDIA 4,OLEVANO DI LOMELLINA,550,277,413,217,6,3,0,2,118,45,10,9,84,1,0,15,0,7,91,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,94,42.3728813559322,22.760290556900724
LOMBARDIA 4,OTTOBIANO,905,444,649,328,7,4,3,1,150,122,45,16,111,3,1,8,0,4,139,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,131,48.99845916795069,20.184899845916796
LOMBARDIA 4,PALESTRO,1532,736,1096,541,27,8,2,2,377,175,35,13,162,0,5,17,0,1,198,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,180,53.74087591240876,16.423357664233578
LOMBARDIA 4,PANCARANA,267,138,198,107,0,2,2,2,73,26,6,2,30,1,0,4,0,1,37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,33,54.04040404040404,16.666666666666664
LOMBARDIA 4,PARONA,1442,725,1017,532,20,13,0,0,258,187,40,13,171,5,3,11,0,8,225,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,192,47.68928220255654,18.87905604719764
LOMBARDIA 4,PIEVE ALBIGNOLA,686,328,481,239,7,3,2,0,128,92,13,4,73,1,0,3,0,6,110,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,78,48.44074844074844,16.216216216216218
