comune,employment_rate,Regione
Curno  ,71.34,LOMBARDIA
Cusio  ,63.62,LOMBARDIA
Dalmine  ,70.52,LOMBARDIA
Dossena  ,65.91,LOMBARDIA
Endine Gaiano  ,68.30,LOMBARDIA
Entratico  ,70.57,LOMBARDIA
Fara Gera d'Adda  ,70.36,LOMBARDIA
Fara Olivana con Sola  ,71.52,LOMBARDIA
Filago  ,73.58,LOMBARDIA
Fino del Monte  ,66.09,LOMBARDIA
Fiorano al Serio  ,72.13,LOMBARDIA
Fontanella  ,66.93,LOMBARDIA
Fonteno  ,65.03,LOMBARDIA
Foppolo  ,66.09,LOMBARDIA
Foresto Sparso  ,71.38,LOMBARDIA
Fornovo San Giovanni  ,72.73,LOMBARDIA
Fuipiano Valle Imagna  ,66.09,LOMBARDIA
Gandellino  ,69.98,LOMBARDIA
Gandino  ,70.98,LOMBARDIA
Gandosso  ,70.01,LOMBARDIA
Gaverina Terme  ,65.43,LOMBARDIA
Gazzaniga  ,71.38,LOMBARDIA
Ghisalba  ,68.58,LOMBARDIA
Gorlago  ,67.79,LOMBARDIA
Gorle  ,73.06,LOMBARDIA
Gorno  ,65.81,LOMBARDIA
Grassobbio  ,71.54,LOMBARDIA
Gromo  ,67.38,LOMBARDIA
Grone  ,67.92,LOMBARDIA
Grumello del Monte  ,70.06,LOMBARDIA
Isola di Fondra  ,65.98,LOMBARDIA
Isso  ,70.46,LOMBARDIA
Lallio  ,72.37,LOMBARDIA
Leffe  ,68.68,LOMBARDIA
Lenna  ,69,LOMBARDIA
Levate  ,72.05,LOMBARDIA
Locatello  ,60.76,LOMBARDIA
Lovere  ,69.51,LOMBARDIA
Lurano  ,75.17,LOMBARDIA
Luzzana  ,74.78,LOMBARDIA
Madone  ,71.03,LOMBARDIA
Mapello  ,72.61,LOMBARDIA
Martinengo  ,68.04,LOMBARDIA
Medolago  ,69.41,LOMBARDIA
Mezzoldo  ,70,LOMBARDIA
Misano di Gera d'Adda  ,72.96,LOMBARDIA
Moio de' Calvi  ,70.38,LOMBARDIA
Monasterolo del Castello  ,71.81,LOMBARDIA
Montello  ,69.58,LOMBARDIA
Morengo  ,69.49,LOMBARDIA
Mornico al Serio  ,67.18,LOMBARDIA
Mozzanica  ,70.78,LOMBARDIA
Mozzo  ,71.74,LOMBARDIA
Nembro  ,70.66,LOMBARDIA
Olmo al Brembo  ,72.96,LOMBARDIA
Oltre il Colle  ,71.80,LOMBARDIA
Oltressenda Alta  ,63.76,LOMBARDIA
Oneta  ,68.01,LOMBARDIA
Onore  ,69.53,LOMBARDIA
Orio al Serio  ,74.34,LOMBARDIA
Ornica  ,65.05,LOMBARDIA
Osio Sopra  ,70.69,LOMBARDIA
Osio Sotto  ,70.24,LOMBARDIA
Pagazzano  ,69.28,LOMBARDIA
Paladina  ,73.90,LOMBARDIA
Palazzago  ,74.26,LOMBARDIA
Palosco  ,69.52,LOMBARDIA
Parre  ,71.88,LOMBARDIA
Parzanica  ,68.07,LOMBARDIA
Pedrengo  ,72.95,LOMBARDIA
Peia  ,70.62,LOMBARDIA
Pianico  ,66.38,LOMBARDIA
Piario  ,67.08,LOMBARDIA
Piazza Brembana  ,71.01,LOMBARDIA
Piazzatorre  ,67.76,LOMBARDIA
Piazzolo  ,65.91,LOMBARDIA
Pognano  ,74.01,LOMBARDIA
Ponte Nossa  ,70.30,LOMBARDIA
Ponte San Pietro  ,70,LOMBARDIA
Ponteranica  ,70.20,LOMBARDIA
Pontida  ,69.12,LOMBARDIA
Pontirolo Nuovo  ,70.06,LOMBARDIA
Pradalunga  ,73.07,LOMBARDIA
Predore  ,73.90,LOMBARDIA
Premolo  ,71.13,LOMBARDIA
Presezzo  ,70.73,LOMBARDIA
Pumenengo  ,66.17,LOMBARDIA
Ranica  ,71.89,LOMBARDIA
Ranzanico  ,70.75,LOMBARDIA
Riva di Solto  ,72.89,LOMBARDIA
Rogno  ,69.95,LOMBARDIA
Romano di Lombardia  ,67.46,LOMBARDIA
Roncobello  ,64.91,LOMBARDIA
Roncola  ,71.08,LOMBARDIA
Rota d'Imagna  ,66.61,LOMBARDIA
Rovetta  ,69.66,LOMBARDIA
San Giovanni Bianco  ,71.41,LOMBARDIA
San Paolo d'Argon  ,71.07,LOMBARDIA
San Pellegrino Terme  ,71.62,LOMBARDIA
Santa Brigida  ,68.99,LOMBARDIA
Sant'Omobono Terme  ,69.11,LOMBARDIA
Sarnico  ,72.18,LOMBARDIA
Scanzorosciate  ,73.49,LOMBARDIA
Schilpario  ,73.20,LOMBARDIA
Sedrina  ,66.56,LOMBARDIA
Selvino  ,70.13,LOMBARDIA
Seriate  ,72.10,LOMBARDIA
Serina  ,70.19,LOMBARDIA
Solto Collina  ,70.99,LOMBARDIA
Solza  ,72.86,LOMBARDIA
Songavazzo  ,69.91,LOMBARDIA
Sorisole  ,69.96,LOMBARDIA
Sotto il Monte Giovanni XXIII  ,71.91,LOMBARDIA
Sovere  ,69.96,LOMBARDIA
Spinone al Lago  ,68.62,LOMBARDIA
Spirano  ,73,LOMBARDIA
Stezzano  ,74.28,LOMBARDIA
Strozza  ,73.27,LOMBARDIA
Suisio  ,69.55,LOMBARDIA
Taleggio  ,74.42,LOMBARDIA
Tavernola Bergamasca  ,74.13,LOMBARDIA
Telgate  ,67.15,LOMBARDIA
Terno d'Isola  ,72.07,LOMBARDIA
Torre Boldone  ,70.76,LOMBARDIA
Torre de' Busi  ,74.17,LOMBARDIA
Torre de' Roveri  ,71.60,LOMBARDIA
Torre Pallavicina  ,69.71,LOMBARDIA
Trescore Balneario  ,69.25,LOMBARDIA
Treviglio  ,70.60,LOMBARDIA
Treviolo  ,72.11,LOMBARDIA
Ubiale Clanezzo  ,70.37,LOMBARDIA
Urgnano  ,69.45,LOMBARDIA
Valbondione  ,63.46,LOMBARDIA
Valbrembo  ,73.82,LOMBARDIA
Val Brembilla  ,71.58,LOMBARDIA
Valgoglio  ,66.57,LOMBARDIA
Valleve  ,75.53,LOMBARDIA
Valnegra  ,68.57,LOMBARDIA
Valtorta  ,69.23,LOMBARDIA
Vedeseta  ,53.11,LOMBARDIA
Verdellino  ,67.39,LOMBARDIA
Verdello  ,70.82,LOMBARDIA
Vertova  ,72.06,LOMBARDIA
Viadanica  ,74.35,LOMBARDIA
Vigano San Martino  ,69.05,LOMBARDIA
Vigolo  ,72.62,LOMBARDIA
Villa d'Adda  ,69.87,LOMBARDIA
Villa d'Almè  ,71.82,LOMBARDIA
Villa di Serio  ,71.84,LOMBARDIA
Villa d'Ogna  ,68.81,LOMBARDIA
Villongo  ,71,LOMBARDIA
Vilminore di Scalve  ,74.72,LOMBARDIA
Zandobbio  ,66.03,LOMBARDIA
Zanica  ,72.19,LOMBARDIA
Zogno  ,70.69,LOMBARDIA
Acquafredda  ,68.98,LOMBARDIA
Adro  ,70.53,LOMBARDIA
Agnosine  ,72.15,LOMBARDIA
Alfianello  ,71.81,LOMBARDIA
Anfo  ,65.62,LOMBARDIA
Angolo Terme  ,69.06,LOMBARDIA
Artogne  ,68.70,LOMBARDIA
Azzano Mella  ,74.96,LOMBARDIA
Bagnolo Mella  ,69.82,LOMBARDIA
Bagolino  ,73.10,LOMBARDIA
Barbariga  ,71.46,LOMBARDIA
Barghe  ,71.61,LOMBARDIA
Bassano Bresciano  ,72.79,LOMBARDIA
Bedizzole  ,70.58,LOMBARDIA
Berlingo  ,71.88,LOMBARDIA
Berzo Demo  ,68.33,LOMBARDIA
Berzo Inferiore  ,72.93,LOMBARDIA
Bienno  ,70.65,LOMBARDIA
Bione  ,72.69,LOMBARDIA
Borgo San Giacomo  ,66.30,LOMBARDIA
Borgosatollo  ,71.46,LOMBARDIA
Borno  ,65.59,LOMBARDIA
Botticino  ,71.54,LOMBARDIA
Bovegno  ,68.20,LOMBARDIA
Bovezzo  ,70.91,LOMBARDIA
Brandico  ,70.44,LOMBARDIA
Breno  ,69.43,LOMBARDIA
Braone  ,70.08,LOMBARDIA
Brescia  ,69.77,LOMBARDIA
Brione  ,70.59,LOMBARDIA
Caino  ,72.37,LOMBARDIA
Calcinato  ,70.39,LOMBARDIA
Calvagese della Riviera  ,75.81,LOMBARDIA
Calvisano  ,69.81,LOMBARDIA
Capo di Ponte  ,69.85,LOMBARDIA
Capovalle  ,72.46,LOMBARDIA
Capriano del Colle  ,73,LOMBARDIA
Capriolo  ,68.72,LOMBARDIA
Carpenedolo  ,71.54,LOMBARDIA
Castegnato  ,71.75,LOMBARDIA
Castel Mella  ,74.27,LOMBARDIA
Castelcovati  ,62.96,LOMBARDIA
Castenedolo  ,74.28,LOMBARDIA
Casto  ,74.36,LOMBARDIA
Castrezzato  ,65.53,LOMBARDIA
Cazzago San Martino  ,70.45,LOMBARDIA
Cedegolo  ,69.60,LOMBARDIA
Cellatica  ,70.52,LOMBARDIA
Cerveno  ,73.89,LOMBARDIA
Ceto  ,70.41,LOMBARDIA
Cevo  ,67.71,LOMBARDIA
Chiari  ,67.49,LOMBARDIA
Cigole  ,69.74,LOMBARDIA
Cimbergo  ,71.26,LOMBARDIA
Cividate Camuno  ,68.76,LOMBARDIA
Coccaglio  ,67.65,LOMBARDIA
Collebeato  ,72.09,LOMBARDIA
Collio  ,67.62,LOMBARDIA
Cologne  ,70.39,LOMBARDIA
Comezzano-Cizzago  ,67.37,LOMBARDIA
Concesio  ,73.50,LOMBARDIA
Corte Franca  ,69.19,LOMBARDIA
Corteno Golgi  ,65.98,LOMBARDIA
Corzano  ,72.26,LOMBARDIA
Darfo Boario Terme  ,68.25,LOMBARDIA
Dello  ,72.58,LOMBARDIA
Desenzano del Garda  ,69.07,LOMBARDIA
Edolo  ,69.28,LOMBARDIA
Erbusco  ,71.88,LOMBARDIA
Esine  ,71.39,LOMBARDIA
Fiesse  ,67.85,LOMBARDIA
Flero  ,74.50,LOMBARDIA
Gambara  ,67.95,LOMBARDIA
Gardone Riviera  ,69.61,LOMBARDIA
Gardone Val Trompia  ,70.36,LOMBARDIA
Gargnano  ,71.95,LOMBARDIA
Gavardo  ,71.53,LOMBARDIA
Ghedi  ,70.05,LOMBARDIA
Gianico  ,69.79,LOMBARDIA
Gottolengo  ,70.09,LOMBARDIA
Gussago  ,71.48,LOMBARDIA
Idro  ,72.70,LOMBARDIA
Incudine  ,64.91,LOMBARDIA
Irma  ,73.33,LOMBARDIA
Iseo  ,71.93,LOMBARDIA
Isorella  ,70.80,LOMBARDIA
Lavenone  ,67.94,LOMBARDIA
Leno  ,69.99,LOMBARDIA
Limone sul Garda  ,79.78,LOMBARDIA
Lodrino  ,68.69,LOMBARDIA
Lograto  ,71.84,LOMBARDIA
Longhena  ,67.64,LOMBARDIA
Lonato del Garda  ,71.95,LOMBARDIA
Losine  ,68.39,LOMBARDIA
Lozio  ,69.87,LOMBARDIA
Lumezzane  ,69.76,LOMBARDIA
Maclodio  ,70.30,LOMBARDIA
Magasa  ,78.13,LOMBARDIA
Mairano  ,71.79,LOMBARDIA
Malegno  ,66.73,LOMBARDIA
Malonno  ,68.85,LOMBARDIA
Manerba del Garda  ,70.93,LOMBARDIA
Manerbio  ,70.95,LOMBARDIA
Marcheno  ,72.09,LOMBARDIA
Marmentino  ,72.17,LOMBARDIA
Marone  ,71.78,LOMBARDIA
Mazzano  ,72.69,LOMBARDIA
Milzano  ,69.03,LOMBARDIA
Moniga del Garda  ,72.19,LOMBARDIA
Monno  ,70.17,LOMBARDIA
Monte Isola  ,72.92,LOMBARDIA
Monticelli Brusati  ,74.72,LOMBARDIA
Montichiari  ,71.93,LOMBARDIA
Montirone  ,72.14,LOMBARDIA
Mura  ,77.15,LOMBARDIA
Muscoline  ,74.81,LOMBARDIA
Nave  ,71.09,LOMBARDIA
Niardo  ,69.80,LOMBARDIA
Nuvolento  ,70.58,LOMBARDIA
Nuvolera  ,71.97,LOMBARDIA
Odolo  ,64.31,LOMBARDIA
Offlaga  ,70.66,LOMBARDIA
Ome  ,72.82,LOMBARDIA
Ono San Pietro  ,71.82,LOMBARDIA
Orzinuovi  ,68.58,LOMBARDIA
Orzivecchi  ,68.15,LOMBARDIA
Ospitaletto  ,70.09,LOMBARDIA
Ossimo  ,67.48,LOMBARDIA
Padenghe sul Garda  ,70.67,LOMBARDIA
Paderno Franciacorta  ,73.85,LOMBARDIA
Paisco Loveno  ,65.43,LOMBARDIA
Paitone  ,69.92,LOMBARDIA
Palazzolo sull'Oglio  ,69.57,LOMBARDIA
Paratico  ,73.49,LOMBARDIA
Paspardo  ,74.64,LOMBARDIA
Passirano  ,72.45,LOMBARDIA
Pavone del Mella  ,70.46,LOMBARDIA
Pertica Alta  ,67.91,LOMBARDIA
Pertica Bassa  ,69.22,LOMBARDIA
Pezzaze  ,66.37,LOMBARDIA
Pian Camuno  ,69.03,LOMBARDIA
Piancogno  ,67.68,LOMBARDIA
Pisogne  ,71.86,LOMBARDIA
Polaveno  ,72.29,LOMBARDIA
Polpenazze del Garda  ,72.64,LOMBARDIA
Pompiano  ,67.61,LOMBARDIA
Poncarale  ,73.39,LOMBARDIA
Ponte di Legno  ,67.82,LOMBARDIA
Pontevico  ,67.86,LOMBARDIA
Pontoglio  ,67.90,LOMBARDIA
Pozzolengo  ,73.20,LOMBARDIA
Pralboino  ,69.24,LOMBARDIA
Preseglie  ,71.87,LOMBARDIA
Prevalle  ,70.16,LOMBARDIA
Provaglio d'Iseo  ,72.44,LOMBARDIA
Provaglio Val Sabbia  ,67.32,LOMBARDIA
Puegnago del Garda  ,72.69,LOMBARDIA
Quinzano d'Oglio  ,71.08,LOMBARDIA
Remedello  ,67.66,LOMBARDIA
Rezzato  ,70.97,LOMBARDIA
Roccafranca  ,64.88,LOMBARDIA
Rodengo Saiano  ,74.08,LOMBARDIA
Roè Volciano  ,71.80,LOMBARDIA
Roncadelle  ,71.35,LOMBARDIA
Rovato  ,67.77,LOMBARDIA
Rudiano  ,65.30,LOMBARDIA
Sabbio Chiese  ,72.55,LOMBARDIA
Sale Marasino  ,73.60,LOMBARDIA
Salò  ,69.80,LOMBARDIA
San Felice del Benaco  ,71.70,LOMBARDIA
San Gervasio Bresciano  ,72.42,LOMBARDIA
San Paolo  ,68.49,LOMBARDIA
San Zeno Naviglio  ,74.95,LOMBARDIA
Sarezzo  ,71.99,LOMBARDIA
Saviore dell'Adamello  ,65.39,LOMBARDIA
Sellero  ,72.01,LOMBARDIA
Seniga  ,71.92,LOMBARDIA
Serle  ,67.40,LOMBARDIA
Sirmione  ,71.71,LOMBARDIA
Soiano del Lago  ,69.68,LOMBARDIA
Sonico  ,70.47,LOMBARDIA
Sulzano  ,72.09,LOMBARDIA
Tavernole sul Mella  ,71.47,LOMBARDIA
Temù  ,69.10,LOMBARDIA
Tignale  ,72.71,LOMBARDIA
Torbole Casaglia  ,72.55,LOMBARDIA
Toscolano-Maderno  ,69.64,LOMBARDIA
Travagliato  ,71.41,LOMBARDIA
Tremosine sul Garda  ,71.50,LOMBARDIA
Trenzano  ,67.82,LOMBARDIA
Treviso Bresciano  ,69.25,LOMBARDIA
Urago d'Oglio  ,66.11,LOMBARDIA
Vallio Terme  ,73.73,LOMBARDIA
Valvestino  ,64.21,LOMBARDIA
Verolanuova  ,70.98,LOMBARDIA
Verolavecchia  ,72.74,LOMBARDIA
Vestone  ,71.57,LOMBARDIA
Vezza d'Oglio  ,73.09,LOMBARDIA
Villa Carcina  ,71.13,LOMBARDIA
Villachiara  ,67.80,LOMBARDIA
Villanuova sul Clisi  ,70.74,LOMBARDIA
Vione  ,62.58,LOMBARDIA
Visano  ,70.36,LOMBARDIA
Vobarno  ,68.58,LOMBARDIA
Zone  ,72.87,LOMBARDIA
Campospinoso Albaredo  ,73.85,LOMBARDIA
Alagna  ,69.78,LOMBARDIA
Albaredo Arnaboldi  ,72.09,LOMBARDIA
Albonese  ,71.98,LOMBARDIA
Albuzzano  ,72.87,LOMBARDIA
Arena Po  ,71.35,LOMBARDIA
Badia Pavese  ,69.35,LOMBARDIA
Bagnaria  ,75.22,LOMBARDIA
Barbianello  ,69.92,LOMBARDIA
Bascapè  ,70.04,LOMBARDIA
Bastida Pancarana  ,69.72,LOMBARDIA
Battuda  ,76.48,LOMBARDIA
Belgioioso  ,71.05,LOMBARDIA
Bereguardo  ,70.39,LOMBARDIA
Borgarello  ,74.93,LOMBARDIA
Borgo Priolo  ,67.26,LOMBARDIA
Borgo San Siro  ,64.76,LOMBARDIA
Borgoratto Mormorolo  ,71.68,LOMBARDIA
Bornasco  ,75.63,LOMBARDIA
Bosnasco  ,70.51,LOMBARDIA
Brallo di Pregola  ,63.81,LOMBARDIA
Breme  ,59.15,LOMBARDIA
Bressana Bottarone  ,71.93,LOMBARDIA
Broni  ,67.74,LOMBARDIA
Calvignano  ,69.51,LOMBARDIA
Candia Lomellina  ,62.19,LOMBARDIA
Canneto Pavese  ,65.92,LOMBARDIA
Carbonara al Ticino  ,73.43,LOMBARDIA
Casanova Lonati  ,66.30,LOMBARDIA
Casatisma  ,64.16,LOMBARDIA
Casei Gerola  ,66.57,LOMBARDIA
Casorate Primo  ,69.88,LOMBARDIA
Cassolnovo  ,72.26,LOMBARDIA
Castana  ,69.16,LOMBARDIA
Casteggio  ,68.76,LOMBARDIA
Castelletto di Branduzzo  ,67.86,LOMBARDIA
Castello d'Agogna  ,69.97,LOMBARDIA
Castelnovetto  ,66.62,LOMBARDIA
Cava Manara  ,73.19,LOMBARDIA
Cecima  ,71.89,LOMBARDIA
Ceranova  ,73.39,LOMBARDIA
Ceretto Lomellina  ,63.16,LOMBARDIA
Cergnago  ,70.39,LOMBARDIA
Certosa di Pavia  ,73.82,LOMBARDIA
Cervesina  ,70.74,LOMBARDIA
Chignolo Po  ,69.27,LOMBARDIA
Cigognola  ,67.41,LOMBARDIA
Cilavegna  ,69.23,LOMBARDIA
Codevilla  ,73.31,LOMBARDIA
Colli Verdi  ,69.50,LOMBARDIA
Confienza  ,65.90,LOMBARDIA
Copiano  ,72.60,LOMBARDIA
Corana  ,68.02,LOMBARDIA
Cornale e Bastida  ,66.60,LOMBARDIA
Corteolona e Genzone  ,72.94,LOMBARDIA
Corvino San Quirico  ,65.86,LOMBARDIA
Costa de' Nobili  ,77.57,LOMBARDIA
Cozzo  ,58.25,LOMBARDIA
Cura Carpignano  ,77.83,LOMBARDIA
Dorno  ,68.51,LOMBARDIA
Ferrera Erbognone  ,61.88,LOMBARDIA
Filighera  ,69.96,LOMBARDIA
Fortunago  ,69.93,LOMBARDIA
Frascarolo  ,68.52,LOMBARDIA
Galliavola  ,58.71,LOMBARDIA
Gambarana  ,57.15,LOMBARDIA
Gambolò  ,69.21,LOMBARDIA
Garlasco  ,68.61,LOMBARDIA
Gerenzago  ,72.96,LOMBARDIA
Giussago  ,73.77,LOMBARDIA
Godiasco Salice Terme  ,71.13,LOMBARDIA
Golferenzo  ,66.52,LOMBARDIA
Gravellona Lomellina  ,73.36,LOMBARDIA
Gropello Cairoli  ,69.90,LOMBARDIA
Inverno e Monteleone  ,70.16,LOMBARDIA
Landriano  ,72.64,LOMBARDIA
Langosco  ,64.27,LOMBARDIA
Lardirago  ,71.48,LOMBARDIA
Linarolo  ,71.32,LOMBARDIA
Lirio  ,77.16,LOMBARDIA
Lomello  ,64.55,LOMBARDIA
Lungavilla  ,69.07,LOMBARDIA
Magherno  ,69.41,LOMBARDIA
Marcignago  ,71.43,LOMBARDIA
Marzano  ,70.80,LOMBARDIA
Mede  ,69.04,LOMBARDIA
Menconico  ,70.29,LOMBARDIA
Mezzana Bigli  ,69.77,LOMBARDIA
Mezzana Rabattone  ,68.40,LOMBARDIA
Mezzanino  ,74.86,LOMBARDIA
Miradolo Terme  ,67.98,LOMBARDIA
Montalto Pavese  ,61.77,LOMBARDIA
Montebello della Battaglia  ,67.90,LOMBARDIA
Montecalvo Versiggia  ,63.61,LOMBARDIA
Montescano  ,67.92,LOMBARDIA
Montesegale  ,73.28,LOMBARDIA
Monticelli Pavese  ,67.06,LOMBARDIA
Montù Beccaria  ,71.43,LOMBARDIA
Mornico Losana  ,64.99,LOMBARDIA
Mortara  ,67.34,LOMBARDIA
Nicorvo  ,59.65,LOMBARDIA
Olevano di Lomellina  ,64.45,LOMBARDIA
Oliva Gessi  ,72.15,LOMBARDIA
Ottobiano  ,68.04,LOMBARDIA
Palestro  ,66.05,LOMBARDIA
Pancarana  ,69.25,LOMBARDIA
Parona  ,67.32,LOMBARDIA
Pavia  ,69.32,LOMBARDIA
Pietra de' Giorgi  ,66.36,LOMBARDIA
Pieve Albignola  ,65.86,LOMBARDIA
Pieve del Cairo  ,63.42,LOMBARDIA
Pieve Porto Morone  ,67.77,LOMBARDIA
Pinarolo Po  ,70.89,LOMBARDIA
Pizzale  ,74.54,LOMBARDIA
Ponte Nizza  ,69.67,LOMBARDIA
Portalbera  ,72.99,LOMBARDIA
Rea  ,75.43,LOMBARDIA
Redavalle  ,69.51,LOMBARDIA
Retorbido  ,71.92,LOMBARDIA
Rivanazzano Terme  ,71.34,LOMBARDIA
Robbio  ,68.58,LOMBARDIA
Robecco Pavese  ,70.12,LOMBARDIA
Rocca de' Giorgi  ,48.02,LOMBARDIA
Rocca Susella  ,68.97,LOMBARDIA
Rognano  ,80.19,LOMBARDIA
Romagnese  ,60.04,LOMBARDIA
Roncaro  ,70.94,LOMBARDIA
Rosasco  ,67.73,LOMBARDIA
Rovescala  ,67.61,LOMBARDIA
San Cipriano Po  ,69.13,LOMBARDIA
San Damiano al Colle  ,61.20,LOMBARDIA
San Genesio ed Uniti  ,73.39,LOMBARDIA
San Giorgio di Lomellina  ,66.57,LOMBARDIA
San Martino Siccomario  ,73.13,LOMBARDIA
San Zenone al Po  ,60.27,LOMBARDIA
Sannazzaro de' Burgondi  ,65.59,LOMBARDIA
Santa Cristina e Bissone  ,72.17,LOMBARDIA
Santa Giuletta  ,66.27,LOMBARDIA
Santa Margherita di Staffora  ,66.86,LOMBARDIA
Santa Maria della Versa  ,71.20,LOMBARDIA
Sant'Alessio con Vialone  ,77.32,LOMBARDIA
Sant'Angelo Lomellina  ,65.20,LOMBARDIA
Sartirana Lomellina  ,66.44,LOMBARDIA
Scaldasole  ,67.12,LOMBARDIA
Semiana  ,73.51,LOMBARDIA
Silvano Pietra  ,69.05,LOMBARDIA
Siziano  ,73.92,LOMBARDIA
Sommo  ,75.45,LOMBARDIA
Spessa  ,66.49,LOMBARDIA
Stradella  ,72.10,LOMBARDIA
Suardi  ,65.01,LOMBARDIA
Torrazza Coste  ,72.33,LOMBARDIA
Torre Beretti e Castellaro  ,60.35,LOMBARDIA
Torre d'Arese  ,71.17,LOMBARDIA
Torre de' Negri  ,71.12,LOMBARDIA
Torre d'Isola  ,73.92,LOMBARDIA
Torrevecchia Pia  ,72.34,LOMBARDIA
Torricella Verzate  ,69.58,LOMBARDIA
Travacò Siccomario  ,72.55,LOMBARDIA
Trivolzio  ,74.10,LOMBARDIA
Tromello  ,68.04,LOMBARDIA
Trovo  ,71.27,LOMBARDIA
Val di Nizza  ,67.38,LOMBARDIA
Valeggio  ,69.19,LOMBARDIA
Valle Lomellina  ,61.01,LOMBARDIA
Valle Salimbene  ,71.69,LOMBARDIA
Varzi  ,70.82,LOMBARDIA
Velezzo Lomellina  ,68.85,LOMBARDIA
Vellezzo Bellini  ,73,LOMBARDIA
Verretto  ,71.18,LOMBARDIA
Verrua Po  ,68.12,LOMBARDIA
Vidigulfo  ,75.32,LOMBARDIA
Vigevano  ,68.01,LOMBARDIA
Villa Biscossi  ,64.94,LOMBARDIA
Villanova d'Ardenghi  ,73.59,LOMBARDIA
Villanterio  ,69.16,LOMBARDIA
Vistarino  ,69.89,LOMBARDIA
Voghera  ,68.31,LOMBARDIA
Volpara  ,73.60,LOMBARDIA
Zavattarello  ,66.06,LOMBARDIA
Zeccone  ,74.65,LOMBARDIA
Zeme  ,60.94,LOMBARDIA
Zenevredo  ,75.30,LOMBARDIA
Zerbo  ,58.23,LOMBARDIA
Zerbolò  ,68.96,LOMBARDIA
Zinasco  ,70.25,LOMBARDIA
Acquanegra Cremonese  ,69.30,LOMBARDIA
Agnadello  ,71.55,LOMBARDIA
Annicco  ,71.99,LOMBARDIA
Azzanello  ,70.26,LOMBARDIA
Bagnolo Cremasco  ,71.20,LOMBARDIA
Bonemerse  ,77.06,LOMBARDIA
Bordolano  ,73.27,LOMBARDIA
Calvatone  ,70.58,LOMBARDIA
Camisano  ,69.65,LOMBARDIA
Campagnola Cremasca  ,72.77,LOMBARDIA
Capergnanica  ,74.12,LOMBARDIA
Cappella Cantone  ,73.69,LOMBARDIA
Cappella de' Picenardi  ,62.74,LOMBARDIA
Capralba  ,69.20,LOMBARDIA
Casalbuttano ed Uniti  ,69.91,LOMBARDIA
Casale Cremasco-Vidolasco  ,71.68,LOMBARDIA
Casaletto Ceredano  ,72.76,LOMBARDIA
Casaletto di Sopra  ,67.69,LOMBARDIA
Casaletto Vaprio  ,72.04,LOMBARDIA
Casalmaggiore  ,70.02,LOMBARDIA
Casalmorano  ,67.72,LOMBARDIA
Castel Gabbiano  ,69.27,LOMBARDIA
Casteldidone  ,66.83,LOMBARDIA
Castelleone  ,72.28,LOMBARDIA
Castelverde  ,74.80,LOMBARDIA
Castelvisconti  ,69.84,LOMBARDIA
Cella Dati  ,70.12,LOMBARDIA
Chieve  ,72.55,LOMBARDIA
Cicognolo  ,68.31,LOMBARDIA
Cingia de' Botti  ,67.69,LOMBARDIA
Corte de' Cortesi con Cignone  ,68.81,LOMBARDIA
Corte de' Frati  ,71.69,LOMBARDIA
Credera Rubbiano  ,71.31,LOMBARDIA
Crema  ,71.92,LOMBARDIA
Cremona  ,70.93,LOMBARDIA
Cremosano  ,72.74,LOMBARDIA
Crotta d'Adda  ,76.03,LOMBARDIA
Cumignano sul Naviglio  ,64.40,LOMBARDIA
Derovere  ,70.30,LOMBARDIA
Dovera  ,69.97,LOMBARDIA
Fiesco  ,74.60,LOMBARDIA
Formigara  ,69.38,LOMBARDIA
Gabbioneta-Binanuova  ,69.08,LOMBARDIA
Gadesco-Pieve Delmona  ,76.06,LOMBARDIA
Genivolta  ,70.54,LOMBARDIA
Gerre de' Caprioli  ,76.53,LOMBARDIA
Gombito  ,71.03,LOMBARDIA
Grontardo  ,69.82,LOMBARDIA
Grumello Cremonese ed Uniti  ,70,LOMBARDIA
Gussola  ,70.36,LOMBARDIA
Isola Dovarese  ,74.08,LOMBARDIA
Izano  ,74.71,LOMBARDIA
Madignano  ,73.44,LOMBARDIA
Malagnino  ,78.54,LOMBARDIA
Martignana di Po  ,71.32,LOMBARDIA
Monte Cremasco  ,70.40,LOMBARDIA
Montodine  ,73.58,LOMBARDIA
Moscazzano  ,69.17,LOMBARDIA
Motta Baluffi  ,64.99,LOMBARDIA
Offanengo  ,72.87,LOMBARDIA
Olmeneta  ,69.74,LOMBARDIA
Ostiano  ,69.60,LOMBARDIA
Paderno Ponchielli  ,64.98,LOMBARDIA
Palazzo Pignano  ,70.74,LOMBARDIA
Pandino  ,70.19,LOMBARDIA
Persico Dosimo  ,76.17,LOMBARDIA
Pescarolo ed Uniti  ,71.88,LOMBARDIA
Pessina Cremonese  ,64.07,LOMBARDIA
Piadena Drizzona  ,68.16,LOMBARDIA
Pianengo  ,73.31,LOMBARDIA
Pieranica  ,68.30,LOMBARDIA
Pieve d'Olmi  ,71.94,LOMBARDIA
Pieve San Giacomo  ,71.46,LOMBARDIA
Pizzighettone  ,70.90,LOMBARDIA
Pozzaglio ed Uniti  ,72.32,LOMBARDIA
Quintano  ,72.11,LOMBARDIA
Ricengo  ,74.03,LOMBARDIA
Ripalta Arpina  ,73.80,LOMBARDIA
Ripalta Cremasca  ,73.27,LOMBARDIA
Ripalta Guerina  ,75.86,LOMBARDIA
