CIRC-REG,COMUNE,ELETTORITOT,ELETTORIM,VOTANTITOT,VOTANTIM,SKBIANCHE,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,ITALEXIT PER L'ITALIA,UNIONE POPOLARE CON DE MAGISTRIS,ITALIA SOVRANA E POPOLARE,VITA,FRATELLI D'ITALIA CON GIORGIA MELONI,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,SUD CHIAMA NORD,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SUDTIROLER VOLKSPARTEI (SVP) - PATT,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,BEINASCO,14184,6769,9310,4531,98,865,565,25,1882,316,367,49,1429,595,220,113,152,84,1930,0,0,0,0,0,0,0,0,0,3385,2614,36.358754027926956,28.07733619763695
PIEMONTE 1,BIBIANA,2566,1266,1673,850,19,187,166,3,229,57,52,6,146,95,44,19,19,14,501,0,0,0,0,0,0,0,0,0,857,344,51.22534369396294,20.561864913329348
PIEMONTE 1,BOBBIO PELLICE,448,215,273,129,6,25,18,2,75,19,13,1,16,14,7,6,4,6,38,0,0,0,0,0,0,0,0,0,83,108,30.4029304029304,39.56043956043956
PIEMONTE 1,BORGONE SUSA,1764,880,1050,539,13,76,59,9,144,37,22,2,188,60,53,28,23,16,224,0,0,0,0,0,0,0,0,0,368,205,35.04761904761905,19.523809523809526
PIEMONTE 1,BRICHERASIO,3746,1868,2514,1251,40,232,245,8,369,108,72,13,241,146,64,28,33,43,668,0,0,0,0,0,0,0,0,0,1153,562,45.86316626889419,22.354813046937153
PIEMONTE 1,BRUINO,6887,3354,4962,2435,40,400,362,8,885,191,174,30,596,363,92,81,87,65,1239,0,0,0,0,0,0,0,0,0,2009,1280,40.48770656993148,25.796049979846835
PIEMONTE 1,BRUZOLO,1231,610,814,415,13,73,48,0,111,28,21,5,129,30,32,31,13,7,167,0,0,0,0,0,0,0,0,0,288,165,35.38083538083538,20.27027027027027
PIEMONTE 1,BURIASCO,1081,529,773,395,13,87,63,1,130,28,21,3,46,72,19,9,8,10,191,0,0,0,0,0,0,0,0,0,342,182,44.24320827943079,23.544631306597672
PIEMONTE 1,BUSSOLENO,4646,2227,2829,1385,31,231,147,10,381,132,68,9,486,135,117,210,42,23,557,0,0,0,0,0,0,0,0,0,945,590,33.404029692470836,20.855425945563805
PIEMONTE 1,CAMPIGLIONE FENILE,1075,529,722,366,15,100,75,5,81,14,25,3,46,51,13,0,1,8,216,0,0,0,0,0,0,0,0,0,396,123,54.84764542936288,17.03601108033241
